10,10,16,1000,inner,0.000547886
10,10,16,1000,local,0.000265837
10,10,16,1000,thread,0.000346899
100,10,16,1000,inner,0.000313997
100,10,16,1000,local,0.000276804
100,10,16,1000,thread,0.000257969
1000,10,16,1000,inner,0.000313997
1000,10,16,1000,local,0.000272989
1000,10,16,1000,thread,0.00059104
10000,10,16,1000,inner,0.00288892
10000,10,16,1000,local,0.000678062
10000,10,16,1000,thread,0.000374079
100000,10,16,1000,inner,0.0290601
100000,10,16,1000,local,0.00235605
100000,10,16,1000,thread,0.00240803
1000000,10,16,1000,inner,0.290583
1000000,10,16,1000,local,0.0222781
1000000,10,16,1000,thread,0.022301
10000000,10,16,1000,inner,2.88939
10000000,10,16,1000,local,0.221612
10000000,10,16,1000,thread,0.220715
100000000,10,16,1000,inner,28.9298
100000000,10,16,1000,local,2.21435
100000000,10,16,1000,thread,2.20684
